N: -39 -> BIN: -100111 | HEX: -27
N: -36 -> BIN: -100100 | HEX: -24
N: 8 -> BIN: 1000 | HEX: 8
N: 34 -> BIN: 100010 | HEX: 22
N: 17 -> BIN: 10001 | HEX: 11
N: 49 -> BIN: 110001 | HEX: 31
N: 5 -> BIN: 101 | HEX: 5
N: 39 -> BIN: 100111 | HEX: 27
N: 0 -> BIN: 0 | HEX: 0
N: 33 -> BIN: 100001 | HEX: 21
N: 12 -> BIN: 1100 | HEX: C
N: -6 -> BIN: -110 | HEX: -6
N: 27 -> BIN: 11011 | HEX: 1B
N: -4 -> BIN: -100 | HEX: -4
N: -38 -> BIN: -100110 | HEX: -26
N: 26 -> BIN: 11010 | HEX: 1A
N: 49 -> BIN: 110001 | HEX: 31
N: 29 -> BIN: 11101 | HEX: 1D
N: 42 -> BIN: 101010 | HEX: 2A
N: -16 -> BIN: -10000 | HEX: -10
N: -28 -> BIN: -11100 | HEX: -1C
N: 34 -> BIN: 100010 | HEX: 22
N: 20 -> BIN: 10100 | HEX: 14
N: 0 -> BIN: 0 | HEX: 0
N: 25 -> BIN: 11001 | HEX: 19
N: 45 -> BIN: 101101 | HEX: 2D
N: 3 -> BIN: 11 | HEX: 3
N: -46 -> BIN: -101110 | HEX: -2E
N: -46 -> BIN: -101110 | HEX: -2E
N: 29 -> BIN: 11101 | HEX: 1D
N: 33 -> BIN: 100001 | HEX: 21
N: 29 -> BIN: 11101 | HEX: 1D
N: 26 -> BIN: 11010 | HEX: 1A
N: -5 -> BIN: -101 | HEX: -5
N: -36 -> BIN: -100100 | HEX: -24
N: 12 -> BIN: 1100 | HEX: C
N: 45 -> BIN: 101101 | HEX: 2D
N: -50 -> BIN: -110010 | HEX: -32
N: 0 -> BIN: 0 | HEX: 0
N: -6 -> BIN: -110 | HEX: -6
N: -39 -> BIN: -100111 | HEX: -27
N: 35 -> BIN: 100011 | HEX: 23
N: 26 -> BIN: 11010 | HEX: 1A
N: -35 -> BIN: -100011 | HEX: -23
N: -42 -> BIN: -101010 | HEX: -2A
N: 14 -> BIN: 1110 | HEX: E
N: -3 -> BIN: -11 | HEX: -3
N: 22 -> BIN: 10110 | HEX: 16
N: -47 -> BIN: -101111 | HEX: -2F
N: 12 -> BIN: 1100 | HEX: C
N: -17 -> BIN: -10001 | HEX: -11
N: -31 -> BIN: -11111 | HEX: -1F
N: -25 -> BIN: -11001 | HEX: -19
N: -35 -> BIN: -100011 | HEX: -23
N: -18 -> BIN: -10010 | HEX: -12
N: 14 -> BIN: 1110 | HEX: E
N: 37 -> BIN: 100101 | HEX: 25
N: -8 -> BIN: -1000 | HEX: -8
N: -41 -> BIN: -101001 | HEX: -29
N: -50 -> BIN: -110010 | HEX: -32
N: -9 -> BIN: -1001 | HEX: -9
N: 2 -> BIN: 10 | HEX: 2
N: 12 -> BIN: 1100 | HEX: C
N: -39 -> BIN: -100111 | HEX: -27
N: -17 -> BIN: -10001 | HEX: -11
N: 0 -> BIN: 0 | HEX: 0
N: 27 -> BIN: 11011 | HEX: 1B
N: 28 -> BIN: 11100 | HEX: 1C
N: 45 -> BIN: 101101 | HEX: 2D
N: -44 -> BIN: -101100 | HEX: -2C
N: 28 -> BIN: 11100 | HEX: 1C
N: 35 -> BIN: 100011 | HEX: 23
N: -33 -> BIN: -100001 | HEX: -21
N: 43 -> BIN: 101011 | HEX: 2B
N: -4 -> BIN: -100 | HEX: -4
N: 23 -> BIN: 10111 | HEX: 17
N: -49 -> BIN: -110001 | HEX: -31
N: 49 -> BIN: 110001 | HEX: 31
N: -7 -> BIN: -111 | HEX: -7
N: -38 -> BIN: -100110 | HEX: -26
N: -45 -> BIN: -101101 | HEX: -2D
N: 5 -> BIN: 101 | HEX: 5
N: -21 -> BIN: -10101 | HEX: -15
N: 26 -> BIN: 11010 | HEX: 1A
N: -2 -> BIN: -10 | HEX: -2
N: -24 -> BIN: -11000 | HEX: -18
N: 6 -> BIN: 110 | HEX: 6
N: -45 -> BIN: -101101 | HEX: -2D
N: -4 -> BIN: -100 | HEX: -4
N: 15 -> BIN: 1111 | HEX: F
N: 0 -> BIN: 0 | HEX: 0
N: -17 -> BIN: -10001 | HEX: -11
N: -35 -> BIN: -100011 | HEX: -23
N: 43 -> BIN: 101011 | HEX: 2B
N: 45 -> BIN: 101101 | HEX: 2D
N: -35 -> BIN: -100011 | HEX: -23
N: -8 -> BIN: -1000 | HEX: -8
N: 28 -> BIN: 11100 | HEX: 1C
N: 47 -> BIN: 101111 | HEX: 2F
N: 34 -> BIN: 100010 | HEX: 22
N: -24 -> BIN: -11000 | HEX: -18
N: -42 -> BIN: -101010 | HEX: -2A
N: -13 -> BIN: -1101 | HEX: -D
N: 14 -> BIN: 1110 | HEX: E
N: -45 -> BIN: -101101 | HEX: -2D
N: -35 -> BIN: -100011 | HEX: -23
N: 27 -> BIN: 11011 | HEX: 1B
N: -12 -> BIN: -1100 | HEX: -C
N: -19 -> BIN: -10011 | HEX: -13
N: -20 -> BIN: -10100 | HEX: -14
N: -14 -> BIN: -1110 | HEX: -E
N: 20 -> BIN: 10100 | HEX: 14
N: 30 -> BIN: 11110 | HEX: 1E
N: 12 -> BIN: 1100 | HEX: C
N: -36 -> BIN: -100100 | HEX: -24
N: -47 -> BIN: -101111 | HEX: -2F
N: -27 -> BIN: -11011 | HEX: -1B
N: -3 -> BIN: -11 | HEX: -3
N: 6 -> BIN: 110 | HEX: 6
N: 36 -> BIN: 100100 | HEX: 24
N: 9 -> BIN: 1001 | HEX: 9
N: -16 -> BIN: -10000 | HEX: -10
N: 36 -> BIN: 100100 | HEX: 24
N: -27 -> BIN: -11011 | HEX: -1B
N: 7 -> BIN: 111 | HEX: 7
N: -6 -> BIN: -110 | HEX: -6
N: -5 -> BIN: -101 | HEX: -5
N: 5 -> BIN: 101 | HEX: 5
N: 47 -> BIN: 101111 | HEX: 2F
N: 23 -> BIN: 10111 | HEX: 17
N: -48 -> BIN: -110000 | HEX: -30
N: -24 -> BIN: -11000 | HEX: -18
N: 40 -> BIN: 101000 | HEX: 28
N: -4 -> BIN: -100 | HEX: -4
N: -18 -> BIN: -10010 | HEX: -12
N: -19 -> BIN: -10011 | HEX: -13
N: 14 -> BIN: 1110 | HEX: E
N: 15 -> BIN: 1111 | HEX: F
N: 1 -> BIN: 1 | HEX: 1
N: 24 -> BIN: 11000 | HEX: 18
N: -9 -> BIN: -1001 | HEX: -9
N: -50 -> BIN: -110010 | HEX: -32
N: 18 -> BIN: 10010 | HEX: 12
N: 15 -> BIN: 1111 | HEX: F
N: 30 -> BIN: 11110 | HEX: 1E
N: 44 -> BIN: 101100 | HEX: 2C
N: 9 -> BIN: 1001 | HEX: 9
N: 19 -> BIN: 10011 | HEX: 13
N: 33 -> BIN: 100001 | HEX: 21
N: 41 -> BIN: 101001 | HEX: 29
N: -24 -> BIN: -11000 | HEX: -18
N: 43 -> BIN: 101011 | HEX: 2B
N: 48 -> BIN: 110000 | HEX: 30
N: -23 -> BIN: -10111 | HEX: -17
N: 7 -> BIN: 111 | HEX: 7
N: 28 -> BIN: 11100 | HEX: 1C
N: 8 -> BIN: 1000 | HEX: 8
N: -2 -> BIN: -10 | HEX: -2
N: 37 -> BIN: 100101 | HEX: 25
N: 42 -> BIN: 101010 | HEX: 2A
N: -17 -> BIN: -10001 | HEX: -11
N: -6 -> BIN: -110 | HEX: -6
N: 36 -> BIN: 100100 | HEX: 24
N: 22 -> BIN: 10110 | HEX: 16
N: 27 -> BIN: 11011 | HEX: 1B
N: 31 -> BIN: 11111 | HEX: 1F
N: -47 -> BIN: -101111 | HEX: -2F
N: -43 -> BIN: -101011 | HEX: -2B
N: 0 -> BIN: 0 | HEX: 0
N: 27 -> BIN: 11011 | HEX: 1B
N: 30 -> BIN: 11110 | HEX: 1E
N: 12 -> BIN: 1100 | HEX: C
N: -15 -> BIN: -1111 | HEX: -F
N: -19 -> BIN: -10011 | HEX: -13
N: -42 -> BIN: -101010 | HEX: -2A
N: -37 -> BIN: -100101 | HEX: -25
N: 31 -> BIN: 11111 | HEX: 1F
N: -10 -> BIN: -1010 | HEX: -A
N: 18 -> BIN: 10010 | HEX: 12
N: 33 -> BIN: 100001 | HEX: 21
N: -15 -> BIN: -1111 | HEX: -F
N: 17 -> BIN: 10001 | HEX: 11
N: 25 -> BIN: 11001 | HEX: 19
N: -25 -> BIN: -11001 | HEX: -19
N: -5 -> BIN: -101 | HEX: -5
N: 33 -> BIN: 100001 | HEX: 21
N: -13 -> BIN: -1101 | HEX: -D
N: 33 -> BIN: 100001 | HEX: 21
N: -10 -> BIN: -1010 | HEX: -A
N: 47 -> BIN: 101111 | HEX: 2F
N: 47 -> BIN: 101111 | HEX: 2F
N: -13 -> BIN: -1101 | HEX: -D
N: -32 -> BIN: -100000 | HEX: -20
N: 1 -> BIN: 1 | HEX: 1
N: 1 -> BIN: 1 | HEX: 1
N: -25 -> BIN: -11001 | HEX: -19
N: -33 -> BIN: -100001 | HEX: -21
N: 16 -> BIN: 10000 | HEX: 10
N: 17 -> BIN: 10001 | HEX: 11
N: 4 -> BIN: 100 | HEX: 4
Tiempo transcurrido: 0.000000 segundos
